ああ[編集]
愛あいり（あい あいり）（2008年）（引退）
愛沢美理（あいざわ みり）（1993年）（引退）
合沢萌（あいざわ もえ）（2007年）
相沢桃（あいざわ もも）（2007年）
相沢もも（あいざわ もも）（2004年）（引退）
相澤唯衣（あいざわ ゆい）（2004年）
相沢優（あいざわ ゆう）（2005年）
相沢優香（あいざわ ゆうか）（2001年）（引退）
逢澤ゆうり（あいざわ ゆうり）（2006年）引退）
会沢由香（あいざわ ゆか）（1984年）（引退）＝吉沢有希子、いずみ由香、早見瞳
相沢夢（あいざわ ゆめ）（2002年）
相澤リナ（あいざわ りな）（2010年）
相沢梨菜（あいざわ りな）（1993年）（引退）
愛澤ルナ（あいざわ るな）（2010年）
逢沢るる（あいざわ るる）（2014年）
相澤玲（あいざわ れい）（2000年）（引退）
相沢れおな（あいざわ れおな）（2013年）（引退）
愛澤レミ（あいざわ れみ）（2006年）（引退）
愛沢蓮（あいざわ れん）（2008年）
相沢恋（あいざわ れん）（2012年）
愛嶋リーナ（あいしま りーな）（2007年）
相島奈央（あいじま なお）（2012年）
愛樹るい（あいじゅ るい）（2007年）
愛代さやか（あいしろ さやか）（2012年）
愛須心亜（あいす ここあ）（2013年）
愛純彩（あいずみ あや）（2011年）=真心実
愛澄玲花（あいずみ れいか）（2010年）
逢栖れもん（あいす れもん）（2013年）
愛染恭子（あいぞめ きょうこ）（1981年）
相田香織（あいだ かおり）（1992年）（引退）
あいださくら（あいだ さくら）（2009年）（引退）
相田紗耶香（あいだ さやか）（2007年）
相田すみれ（あいだ すみれ）（2004年）
相田はるか（あいだ はるか）（2004年）
相田まい（あいだ まい）（2009年）
逢田みなみ（あいだ みなみ）（2013年）
あいだもも（あいだ もも）（1990年）（引退）
あいだゆあ（あいだ ゆあ）（2004年）（引退）
愛田ゆう子（あいだ ゆうこ）（1989年）（引退）=藤崎真奈
あいだゆき（あいだ ゆき）（2007年）
愛田るか（あいだ るか）（1995年）
逢月はるな（あいつき はるな）（2015年）
相戸愛（あいと あい）（2006年）（引退）＝HARUKA
愛斗ゆうき（あいと ゆうき）（2009年）＝なのかひより
愛菜りな（あいな りな）（2008年）
亜衣奈りん（あいな りん）（2011年）
愛音まひろ（あいね まひろ）（2009年）
愛音麻友（あいね まゆ）（2011年）
愛音ミク（あいね みく）（2010年）＝杏野ヒナナ
愛音ゆう（あいね ゆう）（2007年）
愛音ゆり（あいね ゆり）（2008年）＝SAORI
愛乃彩音（あいの あやね）（2005年）＝松下ゆうか、藤咲ゆうか
逢乃うさぎ（あいの うさぎ）（2003年）（引退）
あいの詩（あいの うた）（2008年）（引退）
愛野かおり（あいの かおり）（2008年）
愛乃みく（あいの みく）（2007年）
愛乃ララ（あいの らら）（2005年）（引退）
藍乃りこ（あいのりこ）（2010年）
愛葉亜希（あいば あき）（2001年）（引退）
相庭ココ（あいば ここ）（2012年）
相葉祥子（あいば しょうこ）（2008年）（引退）
相葉空（あいば そら）（2003年）（引退）
愛葉渚（あいば なぎさ）（2008年）
愛葉みう（あいば みう）（2012年）
愛葉悠（あいば ゆう）（2006年）
相葉レイカ（あいば れいか）（2012年）（引退）
愛葉るび（あいば るび）（2003年）（引退）
愛原エミリ（あいはら えみり）（1996年）（引退）
愛原エレナ（あいはら えれな）（2011年）
相原久美（あいはら くみ）（1986年）（引退）
相原このみ（あいはら このみ）（1998年）（引退）＝雛野つばめ、雛乃つばめ
愛原さえ（あいはら さえ）（2011年）
愛原さくら（あいはら さくら）（2008年）
愛原さつき（あいはら さつき）
藍原佐理衣（あいはら さりい）（2014年）
愛原千咲（あいはら ちさき）（2002年）（引退）
愛原ちさと（あいはら ちさと）（1997年）（引退）
愛原つばさ（あいはら つばさ）（2007年）
相原夏海（あいはら なつみ）（2000年）（引退）
相原ひとみ（あいはら ひとみ）（2013年）＝白井ユリ
相原めぐみ（あいはら めぐみ）（1991年）（引退）＝麻田怜子
愛原ゆあ（あいはら ゆあ）（2013年）
愛原唯（あいはら ゆい）（2008年）（引退）
藍原夕妃（あいはら ゆうひ）（2005年）（引退）
愛原莉央（あいはら りお）（2002年）（引退）
相原りお（あいはら りお）（2010年）
相原梨花（あいはら りか）（2002年）（引退）
相原リサ（あいはら りさ）（1995年）（引退）＝倉田千佳、聖まどか
愛原理彩（あいはら りさ）（2004年）（引退）
相原理奈（あいはら りな）
相原涼（あいはら りょう）（1997年）（引退）＝天野未来
愛原れの（あいはら れの）（2014年）＝花梨
愛武千春（あいぶ ちはる）（2013年）
あいぶらん（あいぶ らん）（2009年）＝蜜井とわ
相舞みい（あいまい みい）（1995年）（引退）
愛間みるく（あいま みるく）（2007年）（引退）
あいみ（あいみ）（2000年）＝中谷あいみ、橋本美歩
愛海一夏（あいみ いちか）（2009年）＝秋乃ひとみ
愛実れい（あいみ れい）（2013年）
あいむ咲羅（あいむ さら）（2015年）
相本美咲（あいもと みさき）（2004年）（引退）
愛本美穂（あいもと みほ）（1992年）（引退）
相本友希（あいもと ゆうき）（1998年）（引退）
AIRA（あいら）（2004年）（引退）
あいら（あいら）（2006年）（引退）
あいり&めいり（あいりアンドめいり）（2005年）
あいりみく（あいりみく）（2010年）
愛里ひな（あいり ひな）（2007年）
愛璃みい（あいり みい）（2008年）
愛玲（あいりん）（2007年）（引退）
葵（あおい）（2014年）
葵あかね（あおい あかね）（2002年）（引退）
葵あげは（あおい あげは）（2004年）（引退）
あおいありす（あおい ありす）（2008年）
青井いちご（あおい いちご）（2013年）
葵えり（あおい えり）（2010年）
蒼井楓（あおい かえで）（2014年）
蒼井梢（あおい こずえ）（2005年）
葵こはる（あおい こはる）（2012年）
蒼井さくら（あおい さくら）（2013年）
葵紫穂（あおい しほ）（2014年）
蒼井そら（あおい そら）（2002年）
葵千恵（あおい ちえ）（2015年）
葵ちさと（あおい ちさと）（2004年）（引退）
蒼井ちなつ（あおい ちなつ）（2009年）
葵ちひろ（あおい ちひろ）（2009年）（引退）
葵つかさ（あおい つかさ）（2010年）
葵なつ（あおい なつ）（2011年）
葵のぞみ（あおい のぞみ）（1992年）＝真田ゆかり
葵はるか（あおい はるか）（2005年）（引退）
蒼吹雪（あおい ふぶき）（2002年）（引退）
葵ぶるま（あおい ぶるま）（2009年）（引退）
蒼井まなみ（あおい まなみ）（2012年）
葵まりあ（あおい まりあ）（2011年）
あおい美咲（あおい みさき）（2007年）
葵みのり（あおい みのり）（1999年）（引退）
葵ゆめ（あおい ゆめ）（2013年）（引退）
葵ゆりあ（あおい ゆりあ）（2009年）
青伊らん（あおい らん）（2007年）
藍井る加（あおい るか）（2000年）（引退）
蒼井怜（あおい れい）（2008年）
あおい若菜（あおい わかな）（1997年）（引退）
Aoi.（あおいどっと）（2004年）（引退）＝君島冴子
青木絵里（あおき えり）（1999年）（引退）
青木桂（あおき かつら）（2003年）（引退）
青木花恋（あおき かれん）（2012年）
青木琴音（あおき ことね）（2010年）
青木琴美（あおき ことみ）（1984年）（引退）
青木さえこ（あおき さえこ）（1989年）（引退）＝樹まり子、樹マリ子
青木沙羅（あおき さら）（2001年）（引退）
青木サラ（あおき さら）（1994年）（引退）
青木詩央里（あおき しおり）（1993年）（引退）
青木純奈（あおき じゅんな）（2008年）
青木瀬奈（あおき せな）（2006年）＝土屋ミサ
青木菜摘（あおき なつみ）（2008年）＝しいのまお
青木のあ（あおき のあ）（2004年）
青木春（あおき はる）（2008年）
蒼木マナ（あおき まな）
青木まゆみ（あおき まゆみ）（1993年）（引退）
青木美空（あおき みく）（2012年）
青木みさと（あおき みさと）（1995年）（引退）
青木みなみ（あおき みなみ）（1998年）（引退）
青木美和（あおき みわ）（2004年）（引退）
青木祐子（あおき ゆうこ）（1984年）（引退）
青木ゆかり（あおき ゆかり）（1987年）（引退）
蒼木ゆり（あおき ゆり）（2014年）
蒼樹梨花（あおき りか）（1997年）（引退）
青木莉子（あおき りこ）（2010年）＝片岡さき
青木りん（あおき りん）（2006年）
蒼来るみ（あおき るみ）（2003年）（引退）
青木玲（あおき れい）（2003年）（引退）
青木怜奈（あおき れな）（引退）
青島かえで（あおしま かえで）（2015年）
青島つかさ（あおしま つかさ）（1995年）（引退）
青空小夏（あおぞら こなつ）（2009年）
青空のん（あおぞら のん）（2008年）
蒼月ひかり（あおつき ひかり）（2006年）
蒼月りこ（あおつき りこ）（2006年）
碧波しずく（あおなみ しずく）（2000年）（引退）
蒼乃かな（あおの かな）（2013年）
青野セイラ（あおの せいら）（2015年）
葵野まりん（あおの まりん）（2012年）＝石原あい
蒼乃ミク（あおの みく）（2012年）=さわきりほ
青沼ちあさ（あおぬま ちあさ）（1997年）（引退）
あおば（あおば）（2005年）
あおば結衣（あおば ゆい）（2013年）＝夏芽ひなた
青葉優香（あおば ゆうか）（2014年）
青葉ゆうな（あおば ゆうな）（2003年）（引退)
蒼葉ゆめ（あおば ゆめ）（2010年）＝浅野柚奈
青山愛（あおやま あい）（不明）（不明）
青山葵（あおやま あおい）（2012年）
青山亜美（あおやま あみ）（2013年）
青山いちか（あおやま いちか）（2007年）
青山香織（あおやま かおり）（2004年）
青山和希（あおやま かずき）（1995年）（引退）＝鮎川はるな
青山可奈（あおやま かな）（2003年）
青山くるみ（あおやま くるみ）（2001年）
青山さつき（あおやま さつき）（2009年）＝吉永なつき
青山純（あおやま じゅん）（1995年）（引退）＝美由樹
青山ちはる（あおやま ちはる）（1989年）（引退）＝松下ルミ
青山菜々（あおやま なな）（2006年）
青山遥（あおやま はるか）（2004年）
青山はるき（あおやま はるき）（2012年）
青山ひかる（あおやま ひかる）（2008年）
青山ひより（あおやま ひより）（2004年）＝日高ゆりあ
青山真希（あおやま まき）（2000年）＝芳賀まゆ、羽賀まゆ、逢崎みゆ、高梨耀子、鬼奴、秋本優菜
青山まりあ（あおやま まりあ）（2005年）
藍山みなみ（あおやま みなみ）（2003年）＝上戸彩乃
青山未来（あおやま みく）（2014年）
青山葉子（あおやま ようこ）（2005年）
青山ゆい（あおやま ゆい）（2007年）
青山ゆかり（あおやま ゆかり）（2006年）
青山雪菜（あおやま ゆきな）（2006年）＝彩名ゆい
青山リカ（あおやま りか）
青山梨子（あおやま りこ）（2004年）
青山りん（あおやま りん）（2005年）
青山りんご（あおやま りんご）（2007年）＝りんごちゃん
青山るみ（あおやま るみ）（2003年）（引退）
青山ローラ（あおやま ろーら）（2010年）
青山れあ（あおやま れあ）（2008年）＝逢沢なお
あおりんご（あおりんご）（2005年）
あか[編集]
赤井あみ（あかい あみ）（1994年）（引退）
赤井寿子（あかい としこ）（2007年）
赤井美月 （あかい みつき）（2012年）
紅りんご（あかい りんご）（2007年）
赤川絵理（あかがわ えり）（1990年）
赤坂エレナ（あかさか えれな）（2008年）
赤坂なつみ（あかさか なつみ）（2005年）
赤坂まゆか （あかさか まゆか）（1998年）（引退）＝葉山梨子
赤坂みなみ（あかさか みなみ）
赤坂梨乃（あかさか りの）（1998年）（引退）
赤坂ルナ（あかさか るな）（2003年）（引退）
紅月ルナ（あかつき るな）（2004年）
赤西涼（あかにし りょう）（2007年）＝ayami、まひる
茜あずさ（あかね あずさ）（2013年）
あかね杏珠（あかね あんじゅ）（2015年）
茜笑美（あかね えみ）（2010年）
茜しおん（あかね しおん）（2007年）
あかね志帆（あかね しほ）（2014年）
紅音ほたる（あかね ほたる）（2004年）（引退）＝秋月杏奈、秋本彩
茜むぎ子（あかね むぎこ）（2013年）
朱音ゆい（あかね ゆい）（2011年）
紅音レイラ（あかね れいら）（2013年）
赤羽ゆり（あかばね ゆり）（2002年）（引退）
赤堀えみ（あかほり えみ）（2008年）＝荒井えみ、堀田友紀子、白鳥美玲
あかり（あかり）（2000年）（引退）
明佐奈（あかり さな）（2008年）＝土屋かなこ
明乃夕奈（あかりの ゆうな）（2003年）（引退）
阿川いづみ（あがわ いづみ）（1985年）（引退）
阿木さゆり（あぎ さゆり）（1989年）（引退）＝亜木さゆり
秋ほたる（あき ほたる）（2001年）（引退）
秋ちえみ（あき ちえみ）（1987年）（引退）
秋真琴（あき まこと）（1991年）（引退）
秋麗子（あき れいこ）（2006年）（引退）
秋川香織（あきかわ かおり）（2004年）（引退）
秋川さやか（あきかわ さやか）（1997年）（引退）
秋川沙良（あきかわ さら）（2001年）（引退）
秋川典子（あきかわ のりこ）（1991年）（引退）
秋川真理（あきかわ まり）（2006年）
秋川りお（あきかわ りお）（2004年）＝美月このみ
秋川ルイ（あきかわ るい）（2008年）
秋瀬ルミ（あきせ るみ）（2001年）（引退）
あきのしほ（あきのしほ）（2005年）（引退）
秋月彩乃（あきつき あやの）（2007年）
秋月杏奈（あきづき あんな）（2004年）（引退）＝紅音ほたる、秋本彩
秋月まひる（あきつき まひる）（2008年）＝雨宮せつな、松本ルイ
秋月まりん（あきつき まりん）（2007年）
秋月玲奈（あきつき れいな）（2009年）
あきな（あきな）（2010年）
亜希菜（あきな）（2009年）
秋菜楓（あきな かえで）（2005年）
秋菜里子（あきな りこ）（1999年）（引退）
明菜りせ（あきな りせ）（2013年）
秋野早苗（あきの さなえ）（2015年）
秋野しおり（あきの しおり）（1998年）（引退）
秋野千尋（あきの ちひろ）（2011年）
秋乃真希（あきの まき）（2004年）（引退）
秋野紅葉（あきの もみじ）（2011年）
秋野結衣（あきの ゆい）（1995年）（引退）＝寺尾佑理
秋葉あつこ（あきば あつこ）（2001年）（引退）
秋葉ケイト（あきば けいと）（1994年）（引退）
秋葉りの（あきば りの）（2006年）（引退）
秋原亜由（あきはら あゆ）（2007年）
秋本詩音（あきもと しおん）（2010年）
秋本詩織（あきもと しおり）（1991年）（引退）
秋元ともみ（あきもと ともみ）（1986年）（引退）
秋元なつみ（あきもと なつみ）（2005年）（引退）
秋本のり子（あきもと のりこ）（2004年）
秋元ひなの（あきはら ひなの）（2015年）
秋本麻衣（あきもと まい）（1984年）＝菊池えり、比野由美子、石川江梨子
秋元まゆ花（あきもと まゆか）（2011年）＝愛花沙也
秋本美亜（あきもと みあ）（1995年）（引退）
秋元実花（あきもと みか）（1994年）（引退）
秋元美由（あきもと みゆ）（2008年）
秋本優奈（あきもと ゆうな）（1999年）（引退）＝秋元優奈
秋本由紀（あきもと ゆき）（1998年）（引退）
秋本レナ（あきもと れな）（2002年）（引退）
秋山かすみ（あきやま かすみ）（2004年）（引退）
秋山さおり（あきやま さおり）（1996年）（引退）
秋山祥子（あきやま しょうこ）（2009年）（引退）
秋山ちはる（あきやま ちはる）（2005年）（引退）
秋山瞳（あきやま ひとみ）（2008年）
秋山まり子（あきやま まりこ）（1989年）（引退）
秋山美冴（あきやま みさ）（1992年）（引退）
秋山美晴（あきやま みはる）（1989年）（引退）
秋山みほ（あきやま みほ）（1998年）（引退）
秋吉花梨（あきよし かりん）（2003年）（引退）
秋吉くるみ（あきよし くるみ）（2005年）（引退）
秋吉志帆（あきよし しほ）（2002年）（引退）
秋吉ひな（あきよし ひな）（2011年）
秋吉ゆか（あきよし ゆか）（1994年）（引退）
秋吉理恵（あきより りえ）（1996年）（引退）
秋吉里香（あきよし りか）（2002年）（引退）
晶エリー（あきら えりー）（2005年）＝新井エリー、西川ひとみ、大沢佑香
あけの美憂（あけの みゆう）（1990年）（引退）
あげは（あげは）（2007年）（引退）
アゲハ（あげは）（2006年）
亜華羽（あげは）（2011年）
あさ[編集]
浅井沙也加（あさい さやか）（1988年）（引退）＝沙也加
浅井理恵（あさい りえ）（1989年）（引退）
浅井リカ（あさい りか）（2002年）
浅井千尋（あさい ちひろ）（2008年）
浅井りりか（あさい りりか）（2002年）
浅尾リカ（あさお りか）（2007年）（引退）
浅岡沙希（あさおか さき）（2008年）（引退）
麻丘千夏（あさおか ちなつ）（1994年）（引退）
朝丘まみ（あさおか まみ）（1999年）（引退）
朝丘まりん（あさおか まりん）（2004年）
朝丘未久（あさおか みく）（2011年）
麻丘みなみ（あさおか みなみ）（2001年）（引退）
朝丘南（あさおか みなみ）（2000年）（引退）
麻丘みるく（あさおか みるく）（1994年）（引退）
朝岡実嶺（あさおか みれい）（1991年）（引退）
麻丘里絵（あさおか りえ）（1999年）（引退）
浅香えり（あさか えり）（1995年）（引退）
浅香クリスティ（あさか くりすてぃ）（1995年）（引退）
麻香咲穂里（あさか さほり）（2001年）（引退）
朝香詩織（あさか しおり）（2002年）
麻香はな（あさか はな）（2007年）（引退）
浅香まり（あさか まり）（1992年）（引退）
朝香美穂（あさか みほ）（2002年）
浅香結菜（あさか ゆいな）（2015年）
浅華優（あさか ゆう）（2006年）
浅香蘭（あさか らん）（2013年）
朝香涼（あさか りょう）（2009年）
浅香ゆりえ（あさか ゆりえ）（1996年）（引退）
浅唐あく美（あさから あくび）（2011年）
浅川サラ（あさかわ さら）（2009年）
浅川千晶（あさかわ ちあき）（2002年）
朝川ひかる（あさかわ ひかる）（2010年）
浅川瞳（あさかわ ひとみ）（2011年）＝松嶋友美
浅川美保（あさかわ みほ）（1994年）（引退）
朝河蘭（あさかわ らん）（2000年）（引退）＝武藤蘭
麻川梨乃（あさかわ りの）（1991年）（引退）
浅川涼（あさかわ りょう）（2010年）
麻川麗（あさかわ れい）（2004年）（引退）
麻木菫（あさぎ すみれ）（1999年）（引退）
麻木明香（あさぎ ともか）（2009年）
麻木マキ（あさぎ まき）（2006年）
麻木みく（あさぎ みく）（1996年）（引退）
朝霧一花（あさぎり いちか）（2011年）（引退）
朝霧唯（あさぎり ゆい）（2001年）（引退）
浅倉愛（あさくら あい）（2014年）
朝倉明日香（あさくら あすか）（2009年）（引退）
浅倉あすか（あさくら あすか）（2014年）
浅倉彩音（あさくら あやね）（2008年）
麻倉かほり（あさくら かおり）（1999年）（引退）
浅倉ケイ（あさくら けい）（1988年）（引退）
朝倉ことみ（あさくら ことみ）（2010年）
麻倉ジェシカ（あさくら じぇしか）（2007年）
朝倉しほ（あさくら しほ）（2001年）＝上野舞子
朝倉ちひろ（あさくら ちひろ）（2007年）（引退）
浅倉つばさ（あさくら つばさ）（2009年）
浅倉尚美（あさくら なおみ）（1989年）（引退）
朝倉なほ（あさくら なほ）（2002年）（引退）＝早乙女みなき
麻倉奈美（あさくら なみ）（2003年）
浅倉舞（あさくら まい）（1992年）（引退）
麻倉真紀（あさくら まき）（1990年）（引退）
浅倉まどか（あさくら まどか）（1998年）（引退）
麻倉まみ（あさくら まみ）（2008年）＝愛乃ラム
朝倉まみ（あさくら まみ）（1995年）（引退）
浅倉麻里（あさくら まり）（1987年）（引退）
朝倉まりあ（あさくら まりあ）（1999年）
朝倉海音（あさくら みお）（2002年）（引退）
朝倉美里（あさくら みさと）（1986年）（引退）
浅倉みるく（あさくら みるく）（2002年）（引退）
亜佐倉みんと（あさくら みんと）（2005年）
浅倉結衣（あさくら ゆい）（2013年）
麻倉憂（あさくら ゆう）（2009年）
朝倉由美（あさくら ゆみ）（1991年）（引退）
朝倉夢（あさくら ゆめ）（2009年）＝楓乃々花
浅倉領花（あさくら りょうか）（2013年）
麻倉ルミ（あさくら るみ）（1989年）（引退）
浅田純子（あさだ じゅんこ）（1989年）（引退）
浅田ちち（あさだ ちち）（2008年）（引退）
麻田夏子（あさだ なつこ）（1987年）（引退）
朝田ばなな（あさだ ばなな）（2010年）
浅田まほ（あさだ まほ）（2007年）
浅田まみ（あさだ まみ）（2010年）
浅田萌（あさだ もえ）（2008年）
安里祐加（あさと ゆうか）（1999年）（引退）
浅野えみ（あさの えみ）（2013年）
浅乃かこ（あさの かこ）（2011年）
浅野しおり（あさの しおり）（1989年）（引退）
麻乃ちえみ（あさの ちえみ）（2006年）
麻田有希（あさだ ゆき）（2009年）
浅乃ハルミ（あさの はるみ）（2009年）（引退）
朝乃美咲（あさの みさき）（2009年）
浅之美波（あさの みなみ）＝工藤加奈子、浅乃みなみ、朝倉景子、浅野美波
浅野柚奈（あさの ゆな）（2007年）＝蒼葉ゆめ
浅野由美（あさの ゆみ）（1995年）（引退）
朝日なな（あさひ なな）（2007年）
朝日まな（あさひ まな）（2013年）
あさひ瑞穂（あさひ みずほ）（2003年）（引退）
朝日奈あかり（あさひな あかり）（2008年）
朝比奈樹里（あさひな じゅり）（1989年）（引退）
朝比奈さき（あさひな さき）（2009年）＝芹澤カレン、ゆうきさやか
朝比奈ハル（あさひな はる）（2005年）
朝比奈実和（あさひな みわ）（2012年）
朝比奈めぐみ（あさひな めぐみ）（1990年）（引退）＝伊集院美子
朝比奈茉里菜（あさひな まりな）（2008年）＝みずほゆき、香坂美優
朝比奈ゆい（あさひな ゆい）（2003年）（引退）
朝比奈リノア（あさひな りのあ）（2000年）（引退）
朝比奈りり子（あさひな りりこ）（1998年）（引退）
朝比奈るい（あさひな るい）（2009年）
朝比奈れいこ（あさひな れいこ）
麻布レオナ（あざぶ れおな）（2003年）
麻吹亜美（あさぶき あみ）（2003年）（引退）
朝吹ケイト（あさぶき けいと）（1983年）（引退）
麻吹まどか（あさぶき まどか）（1993年）（引退）
朝吹摩耶（あさぶき まや）（1987年）（引退）＝豊田聖梨華
浅間夕子（あさま ゆうこ）（1990年）（引退）
浅間るい（あさま るい）（1987年）（引退）
亜紗美（あさみ）（2005年）（引退）
麻美あゆな（あさみ あゆな）（2005年）（引退）
浅見香織（あさみ かおり）（2005年）
浅見伽揶（あさみ かや）（2000年）（引退）
浅見きんぎょ（あさみ きんぎょ）（2004年）（引退）
麻美ケイ（あさみ けい）（1986年）（引退）
朝美ひかる（あさみ ひかる）（1997年）（引退）
朝美ほのか（あさみ ほのか）（2001年）（引退）＝瑞穂このみ
浅見まお（あさみ まお）（1996年）（引退）＝小泉リカ
浅見唯（あさみ ゆい）（1989年）
浅見友紀（あさみ ゆき）（2008年）＝浅野弥恵、平山祐美
麻美ゆま（あさみ ゆま）（2005年）（引退）
麻美らん（あさみ らん）（2009年）
浅見怜（あさみ れい）（2004年）（引退）
あざみねね（あざみ ねね）（2011年）
麻宮かりん（あさみや かりん）（2010年）
麻宮淳子（あさみや じゅんこ）（1994年）（引退）
麻宮千聖（あさみや ちさと）（1989年）（引退）
麻宮まどか（あさみや まどか）（2014年）
麻宮モナ（あさみや もな）（2009年）
浅宮ゆかり（あさみや ゆかり）
麻宮玲（あさみや れい）（2013年）＝みおり舞
芦川芽依（あしかわ めい）（2013年）
芦沢彩乃（あしざわ あやの）（2007年）（引退）
葦沢鳴海（あしざわ なるみ）（2008年）
葦田つぐみ（あしだ つぐみ）
芦田知子（あしだ ともこ）（2014年）
芦名未帆（あしな みほ）（2010年）＝稲森しほり
芦屋瞳（あしや ひとみ）（1991年）（引退）
芦屋美帆子（あしや みほこ）
芦名ユリア（あしな ゆりあ）（2012年）
ASUKA（あすか）（2011年）
ASUKA（あすか）（2009年）＝大橋桃花
明日香（あすか）（2002年）（引退）
明日香クレア（あすか くれあ）（2012年）
明日香ちなみ（あすか ちなみ）（1989年）（引退）
あすか伊央（あすか いお）（2007年）（引退）＝川奈舞
飛鳥いずみ（あすか いずみ）（1994年）（引退）＝ 吉永あすか
明日花キララ（あすか きらら）（2007年）
飛鳥ひとみ（あすか ひとみ）（1995年）（引退）＝藤田リナ
あすか光希（あすか みつき）（2011年）
あすかみみ（あすか みみ）（2008年）
あすかりの（あすか りの）（2007年）
飛鳥れい（あすか れい）（2007年）
梓ユイ（あずさ ゆい）（2010年）
梓由紀（あずさ ゆき）（1992年）（引退）
AZUSA（あずさ）（引退）
明日菜（あすな）（2010年）
あずま樹（あずま いつき）（2005年）
東清美（あずま きよみ）（1987年）（引退）
東桐子（あずま きりこ）（1987年）（引退）
AZUMI（あずみ）（2013年）
安曇野まり（あずみの まり）（1996年）（引退）
安住涼子（あずみ りょうこ）（2006年）（引退）
東凛（あずま りん）（2014年）
あずみ恋（あずみ れん）（2010年）＝蓮美恋
麻生香（あそう かおり）（1998年）（引退）
麻生香月（あそう かづき）（2009年）
麻生早苗（あそう さなえ）（1995年）（引退）
麻生祥子（あそうしょうこ）（1997年）（引退）
麻生千尋（あそう ちひろ）（2003年）（引退）
麻生菜月（あそう なつき）（引退）（1994年）（引退）
麻生希（あそう のぞみ）（2012年）
麻生舞（あそう まい）（1995年）（引退）＝西条加奈、沢口りな
麻生まみ（あそう まみ）（1990年）（引退）
麻生まりも（あそう まりも）（2003年）（引退）
麻生澪（あそう みお）（1986年）（引退）
麻生みく（あそう みく）（2002年）（引退）
麻生岬（あそう みさき）（2005年）（引退）
麻生美由樹（あそう みゆき）（2008年）
麻生めい（あそう めい）（2012年）
麻生ゆう（あそう ゆう）（2012年）
麻生梨奈（あそう りな）（2008年）
麻生玲夏（あそう れいか）（2001年）（引退）
あた[編集]
